Cline	Location	Altitude_meters_above_sea_level	Latitude_degree_North	Longitude_degree_East	Species	Sex	Common_Garden_Temperature_Degree_Centigrade	Phenotype	Phenotype_Unit	Data	Reference	Reference_DOI
Altitude	Macleodganj	1770	32.23	76.32	Drosophila immigrans	Male	21	Desiccation	hours	16.5	"Parkash R, Ramniwas S, Rajpurohit S, Sharma V. 2008. Variations in body melanization impact desiccation resistance in Drosophila immigrans from Western Himalayas. Journal of Zoology 276:219-227."	doi:10.1111/j.1469-7998.2008.00478.x
Altitude	Dalhousie	1959	32.32	75.58	Drosophila immigrans	Male	21	Desiccation	hours	17.3	"Parkash R, Ramniwas S, Rajpurohit S, Sharma V. 2008. Variations in body melanization impact desiccation resistance in Drosophila immigrans from Western Himalayas. Journal of Zoology 276:219-227."	doi:10.1111/j.1469-7998.2008.00478.x
Altitude	Chail	2226	30.96	77.19	Drosophila immigrans	Male	21	Desiccation	hours	18.8	"Parkash R, Ramniwas S, Rajpurohit S, Sharma V. 2008. Variations in body melanization impact desiccation resistance in Drosophila immigrans from Western Himalayas. Journal of Zoology 276:219-227."	doi:10.1111/j.1469-7998.2008.00478.x
Altitude	Chandigarh	400	30.44	76.53	Drosophila ananassae	Female	25	Desiccation	hours	8.1	"Rajpurohit S, Parkash R, Singh S, Ramniwas S. 2008. Climate change, boundary increase and elongation of a pre-existing cline: A case study in Drosophila ananassae. Entomological Research 38:268-275."	doi: 10.1111/j.1748-5967.2008.00186.x
Altitude	Kalka	600	30.83	76.93	Drosophila ananassae	Female	25	Desiccation	hours	10.5	"Rajpurohit S, Parkash R, Singh S, Ramniwas S. 2008. Climate change, boundary increase and elongation of a pre-existing cline: A case study in Drosophila ananassae. Entomological Research 38:268-275."	doi: 10.1111/j.1748-5967.2008.00186.x
Altitude	Solan	1440	30.9	77.09	Drosophila ananassae	Female	25	Desiccation	hours	13.45	"Rajpurohit S, Parkash R, Singh S, Ramniwas S. 2008. Climate change, boundary increase and elongation of a pre-existing cline: A case study in Drosophila ananassae. Entomological Research 38:268-275."	doi: 10.1111/j.1748-5967.2008.00186.x
Altitude	Parwanoo	640	30.83	76.96	Drosophila buskii	Female	21	Desiccation	hours	16.34	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Nahan	1038	30.55	77.29	Drosophila buskii	Female	21	Desiccation	hours	22.36	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Dharampur	1437	30.9	77.09	Drosophila buskii	Female	21	Desiccation	hours	30.15	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Barog	1680	30.89	77.07	Drosophila buskii	Female	21	Desiccation	hours	32.37	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Naldehra	2044	31.18	77.18	Drosophila buskii	Female	21	Desiccation	hours	35.46	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Mashobra	2236	31.13	77.23	Drosophila buskii	Female	21	Desiccation	hours	41.32	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Pinjore	512	30.79	76.91	Drosophila kikkawai	Female	21	Desiccation	hours	11.1	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Kalka	600	30.83	76.93	Drosophila kikkawai	Female	21	Desiccation	hours	12.8	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Bhunter	1096	31.86	77.15	Drosophila kikkawai	Female	21	Desiccation	hours	14	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Solan	1440	30.9	77.09	Drosophila kikkawai	Female	21	Desiccation	hours	15.3	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Kasauli	1951	30.9	76.96	Drosophila kikkawai	Female	21	Desiccation	hours	18.6	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Chail	2226	30.96	77.19	Drosophila kikkawai	Female	21	Desiccation	hours	20.3	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Pinjore	512	30.79	76.91	Drosophila kikkawai	Male	21	Desiccation	hours	9.2	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Kalka	600	30.83	76.93	Drosophila kikkawai	Male	21	Desiccation	hours	10.4	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Bhunter	1096	31.86	77.15	Drosophila kikkawai	Male	21	Desiccation	hours	11.5	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Solan	1440	30.9	77.09	Drosophila kikkawai	Male	21	Desiccation	hours	12.8	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Kasauli	1951	30.9	76.96	Drosophila kikkawai	Male	21	Desiccation	hours	15.2	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Chail	2226	30.96	77.19	Drosophila kikkawai	Male	21	Desiccation	hours	16.1	"Parkash R, Sharma V, Kalra B. 2010. Sexual dimorphism for water balance mechanisms in montane populations of Drosophila kikkawai. Biology Letters 6:570-574."	doi:10.1098/rsbl.2009.0971
Altitude	Rohtak	219	28.5	76.35	Drosophila nepalensis	Male	25	Desiccation	hours	11.41	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Kalka	600	30.83	76.93	Drosophila nepalensis	Male	25	Desiccation	hours	15.72	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
Altitude	Solan	1440	30.9	77.09	Drosophila nepalensis	Male	25	Desiccation	hours	18.02	"Parkash R, Tyagi PK, Sharma I, Rajpurohit S. 2005. Adaptations to environmental stress in altitudinal populations of two Drosophila species. Physiological Entomology 30:353-361."	doi:10.1111/j.1365-3032.2005.00470.x
